Date,Username,User tag,Content,Mentions,Reply to
"2025-10-09,00:10:47",biokoff,#0,,,1425590409240776856
"2025-10-09,00:10:49",biokoff,#0,"|-----------------------------------------------------------------------------|
И вот нежданно негаданно, открылись порталы под ногами людей и они очутились в совершенно новых для себя местах...

<@&1417618850572140726> , <@&1413870499649290270> и <@&1410774078138093699> оказались в неведаном зеленом мире. Это был, город? Судя по всему на вид 19 века. И где это они оказались?
|-----------------------------------------------------------------------------|",,
"2025-10-09,00:55:02",biokoff,#0,"—Мива—
|-----------------------------------------------------------------------------|
Девушка спокойно себе сидела среди теней и даже стала рассказывать им разные поучительные истории, как вдруг её выдернула прямо из тени куда-то вниз, на что она успела лишь сказать теням ""не волнуйтесь за меня, защитите дитя..."".( <@&1387465544084623470> ). После чего она оказалась в невиданом до сей пары городе. Ещё один город в мире той мечницы? Ох, похоже она тут была не одна... Она заметила невиданную ранее девушку <@&1417618850572140726> и ужасного мужчину ввиде <@&1410774078138093699> ...Она хмыкнула увидев последнего. После чего спокойно сказала:
|-----------------------------------------------------------------------------|

—Милейшая девушка и темная сущность, вы незнаете где мы оказались? Мне бы хотелось вернуться обратно к дитя, для её защиты.

|-----------------------------------------------------------------------------|",,1425591287519772692
"2025-10-09,01:16:13",samin__,#0,"— Сорналиэль Алэтос —

Сорналиэль просто стоял и слушал ведьму как вдруг начали открываться разломы один за другим. Пытаясь понять что происходит, мужчина заметил большой всплеск маны и... опять новый мир... его теперь так каждый день будут переносить? Осознав что это мир без маны, Алэтос сильно нахмурился и стал перебирать варианты как от сюда выбраться, как вдруг к нему обратились.

Повернувшись, он увидел <@&1417618850572140726> и <@&1413870499649290270> . Мда... компашка неприятная. Значит всех раскидало по мирам? Или только этих троих? Хороший вопрос, на который нужно узнать ответ... СТОП, КАК ОНА МЕНЯ НАЗВАЛА?!

Собрались с мыслями, Сорналиэль цокнул и сказал:

— Следи за своими выражениями! Если вновь хочешь напасть, для этого не время. Что-то произошло с разломами и нас переместило в другой мир. А вот как вернуться...

Сказав это, Алэтос прикоснулся к подбородку и принялся размышлять",biokoff,1425602415717257258
"2025-10-09,12:14:12",_kambot,#0,"— Вероника Штольц —

Только женщина собиралась ответить своему собеседнику, как вдруг женщина провплилась в портал, что открылся под ее ногами и она очутилась черт знает где. Опять? Серьезно? Приехали.... Вообщем, от второй за ее жизнь телепортации она снова разинула рот, как вдруг немного проблевалось... телепортация для простого человека это что то на ровне полетом в космос. После этого девушка протерла рот, сплюнув всю гадость полностью и огляделась, приметив городскую улицу... Да ладно?! Цивилизация? Обладеть! Женщина заискрилась от радости и в слух сказала:

— Обладеть!! Это.. стоп.. центр? Это старый центр? Очень похоже.. 

Однако поток мыслей Вероники, прервали кто то сзади. Женщина обернулась, увидев <@&1413870499649290270> и старого, во всех смыслах этого слова, знакомого <@&1410774078138093699> . После этого девушка обратилась к обоим:

— Так.. а вы тут с какой радости?? Я разве не... дома?",,
"2025-10-09,13:01:07",biokoff,#0,"—Мива—
|-----------------------------------------------------------------------------|
Девушка огляделась, подмечая красоты города, а после услышав обращения двоих, скрестила руки и стала поэтапно отвечать:
|-----------------------------------------------------------------------------|

—Мистер, я лишь сказала то, что вижу. От вас так и исходит темная аура, отчего так вас и представила. Если бы вы сказали имя, я бы могла изменить прозвище на него. Меня кстати говоря зовут Мива, рада с вами обоими познакомится, хоть и пред столь странными обстоятельствами... А на драку я и вовсе не намеривалась идти, в прошлый раз это было недопонимания со стороны дитя и её друга, а я их лишь защищала.

-Что-то случилось с порталами? Это весьма странно, ведь меня это также коснулась, хоть я и была вовсе в неосязаемом царстве теней дитя... Хох, похоже случилось что-то весьма дурное. Я думаю мы можем поискать магический след, чтобы обнаружить выход отсюда, не так ли?

/После она поклонилась, забыв что при приветствии это следует делать и посмотря на <@&1417618850572140726> стала отвечать уже ей:/
-Если это ваш мир, нам удачно повезло, ведь вы сможете в случае чего нас, плохо знающих ваш мир защитить от недопониманий... Я полагаюсь на вас мисс. А мы тут оказались не по своей воли, как и вы, я полагаю.

|-----------------------------------------------------------------------------|",_kambot,1425773332912934942
"2025-10-09,13:12:58",samin__,#0,"— Сорналиэль Алэтос —

Алэтос осмотрел <@&1413870499649290270> . В его крутилось ""и с ней то я бился?""... Мда... разочарование да и только... Осматривая улицу, мужчина не вольно вспомнил просторы империи. Всё было более мрачно и менее цивильно, но в принципе сходства были. Задумываясь над этим, император и позабыл что это мир без маны. Придётся вновь экономить... магический след? Его почти не осталось. Мана растворилась как только порталы исчезли, так что это будет как минимум затруднительно, а скорее не возможно...

У мужчины уже были некоторые знания о переходе через миры, но знания были крайне скундыми, для того чтобы прорвать барьер. Остаётся надеяться на ведьму, не так ли? Хорошо, в таком случае нужно изучить этот мир и узнать как на него повлияло ""**слияние**"".

Обдумав всё это, старик ответил:

— Мива значит? Моё имя Сорналиэль Алэтос. А вот ваше имя я не помню ( <@&1417618850572140726> ). Вернуться обратно будет затруднительно. Этот мир обделён маной, а значит возникновение разлома почти равна нулю. Для начала можете рассказать про свой мир?

Алэтос ожидал объяснений. Пока он не понимает как этот мир вообще существует без маны, его расуждения полностью лишины смысла",biokoff,1425785141090844735
"2025-10-09,13:44:23",_kambot,#0,"— Вероника Штольц —

Женщина немного расстроилась от того что <@&1410774078138093699> ее не помнит, однако смирилась.. старость она такая.. по этому женщина вновь представилась:

— Для всех напомню.. я Вероника.. и..

Женщина заметила то, как выглядят горожане и.. ПРОЕЗЖАЮЩИЕ КАРЕТЫ, отчего у девушки сузились глаза и она проговорила:

— Бляяяять....

Вероника разочаровалась, поняв, что она не дома.. явно не дома.. нет, ну как бы может быть это и ее город.. но тогда в очень далеком прошлом. Это ужас... женщина прокашлялялась и снова обратилась к дуо ( <@&1410774078138093699> <@&1413870499649290270> )

— Упс... просчиталась.. это не мой мир.. хотя на первый взгляд очень похоже. Чтож.. мы в дерьме! Замечательно! СУПЕРСКИ НАХУЙ.

Вероника начала сильно нервничать. С какого черта ее опять закинуло куда то? Где самый адекватный человек на свете по имени Адам? Девушка от непонимания и злобы просто села на мощенную дорогу и смотрела на <@&1413870499649290270> и <@&1410774078138093699>",,
"2025-10-09,13:47:52",biokoff,#0,"—Мива—
|-----------------------------------------------------------------------------|
Девушка немного расстроилась, услышав то, что это не мир Вероники. Но все же встала возле неё, чуть наклонившись чтобы погладить её по голове, приговаривая:
|-----------------------------------------------------------------------------|

—Ничего страшного леди, нам предстоит тогда узнать где мы оказались. Эти места вам напоминнило ваш мир, а значит они похожи на них, верно? В моих реалиях подобного не было, отчего я все равно полагаюсь на ваши знания. Если вам нужно будет моя поддержка, я всецело отдамся ради помощи вам.

|-----------------------------------------------------------------------------|",_kambot,1425796029483319318
"2025-10-09,13:56:43",samin__,#0,"— Сорналиэль Алэтос —

Алэтос лишь цокнул от такого развития событий. Как можно не узнать свой-же мир? Чтож... ладно... она тоже из мира без магии, а это уже что-то...

Сделав пару шагов к <@&1413870499649290270> , мужчина положил руку на её голову и стал её гладить приговаривая смотря на <@&1417618850572140726> :

— В любом случае Вероника из мира без магии, а значит будет полезна. Для начала можешь рассказать про свой мир, а точнее что схоже с этим?

*Раз девушка дотронулась до головы, значит и ей это нужно? Ведь так?*",biokoff,1425796907992613067
"2025-10-09,14:13:40",_kambot,#0,"— Вероника Штольц —

Женщина сидела на тротуаре, как вдруг ее начала гладить <@&1413870499649290270> .. а потом ЕЩЕ И ДЕД <@&1410774078138093699> . Что за фигня? Вероника ожидала все что угодно, но не это, причем сразу от двух человек.. от такого она опешила, ее глаза немного забегали, но быстро собравшись, женщина встала с дороги, отряхнув спортивный костюм, который она так и НЕ УСПЕЛА ПЕРЕОДЕТЬ. Осознав это девушка еще раз проговорила:

— Ну бляяяяяять, жа что за херня то?! Почему всеме должно быть за раз И ТАК СУКА БЫСТРО!? ДАЖЕ ЛИФЧИК НЕ ПЕРЕОДЕ-

Девушка поняла, что входит в ярость и говорит лишнего, отчего умолкла и прокашлялась. Выслушав <@&1410774078138093699> и <@&1413870499649290270> , девушка чуток подумала и проговорила:

— Кхм... это.. ну.. это похоже на прошлое.. я историю неплохо знаю.. так что да.. наверное смогу быть полезной. Хотя.. я полезной буду всегда, ваши колдунские штучки тут навряд ли будут работать

Сказав это, девушка даже улыбнулась, поняв, что она в какой то мере теперь сильнее всех из присутствующих",,
"2025-10-09,15:39:35",biokoff,#0,"—Мива—
|-----------------------------------------------------------------------------|
Девушка не поняла отчего <@&1410774078138093699> стал гладить её, но приняла это, подумав что он так идёт на контакт? Она хмыкнула переставая гладить девушку, ведь она встала и она банально не дотягивалксл до её головы. Услышав про магию та невольно посмотрела на свой нимб и чуть пошевелила крыльями, ну а после подняла руку, из коей появился маленький огонек света и тут же затух, после чего она сказала:
|-----------------------------------------------------------------------------|

—Магия тут работает, но восстановление будет затратным... Отчего я не смогу скрыть свои крылья и нимб. Судя по людям что смотрят в нашу сторону, думаю проблема именно во мне, верно? Что же, похоже мне придется спрятаться где-то, чтобы не пугать людей... Так, мисс <@&1417618850572140726> , с чего нам начать путь?

|-----------------------------------------------------------------------------|",_kambot,1425803400846639106
"2025-10-09,16:36:16",_kambot,#0,"— Вероника Штольц —

Женщина с кривым лицом посмотрела на то как <@&1413870499649290270> колдовала, а после сама заметила нимб и крылья, что были для нее не малым шоком... не заметила слона под носом... женщина почесала затылок а после посмотрела на людей, что пялились на троицу и пригрозила кулаком и те разбежались по своим делам. После этого, тяжело вздохнув, Вероника сказала:

— А вот это действительно проблема... эту херню никак не снять? Очень бы хотелось.. Кххмм... ладно. Давайте для начала не стоять посреди улицы, а хотя бы за угол зайдем. 

Девушка пошла к ближайщему переулку, ведя за собой <@&1410774078138093699> и <@&1413870499649290270>",biokoff,1425825018893307914
"2025-10-09,16:42:49",samin__,#0,"— Сорналиэль Алэтос —

Алэтос просто полча шёл за девушкой. Он еле как понял, что крылья кого-то могут смутить, однако с ним ведь всё нормально? Зайдя за угол, Сорналиэль осмотрелся и невозмутимо сказал:

— Вряд ли этот разлом стабилен... ману нужно экономить, так что про захват этого мира и речи быть не может. Нужно во что бы то не стало оставить ману, чтобы подать сигнал ведьме. Ну или открыть портал своими силами. Для начала... неужто крылья столь странное зрелище? Почему бы просто не сказать что мы из другого мира?

Сорналиэль и вправду не видел особых проблем в этом. Почему они должны прятаться как крысы? КРЫСЫ...",_kambot,1425839286716076072
"2025-10-09,16:47:38",biokoff,#0,"—Мива—
|-----------------------------------------------------------------------------|
Девушка проследовала за <@&1417618850572140726> в темный переулок, в коем ей не особо было комфортно, но выбирать не приходилось. Она выслушала обоих, а после спокойно сказала:
|-----------------------------------------------------------------------------|

—Я могу спрятать крылья под одежду, но с нимбом будут проблемы, ведь он не физичен и я не могу его спрятать... А насчёт прятаться или нет, я считаю в каждом мире разная культура и в мире без магии, что-то из ряда вон может смутить местных и они попросту не пойдут с нами на контакт, верно? По крайней мере, в особняке многие предпочитали не разговаривать со мной и избегать.

|-----------------------------------------------------------------------------|",samin__,1425840932472881272
