Date,Username,User tag,Content,Mentions,Reply to
"2026-05-11,23:33:28",ktoia,#0,"# Глубокая ночь.

# Приближённая деревня центральных территорий Дракхельма.

Высокие стены из камня поднимались среди снежных просторов, словно отдельный, отрезанный от остального мира узел жизни. Длинные дома, склады, кузницы, тренировочные дворы, сторожевые башни и караванные стоянки - всё это соединялось в единый организм, который никогда не замирал полностью.

Ветер постоянно бродил между строениями, заставляя деревянные вывески глухо стучать о стены. Где-то вдали лаяли собаки, скрипели сани, слышались редкие голоса караульных. В некоторых окнах ещё горел тёплый свет, но большая часть поселения уже спала. Ночь стояла плотная, северная. Небо затянуло тяжёлыми облаками, но сквозь них пробивался бледный лунный свет - достаточно яркий, чтобы различать крыши домов и снег оседающий на подоконниках.

|-----------------------------------------------------------------------------|
# Гостевой дом. Комнаты для приезжих.
|-----------------------------------------------------------------------------|

<@&1503427258998853804> 

Сив разместили в отдельной комнате - небольшой, но личной. Здесь было тепло. Печь недавно топили и теперь она медленно остывала, сохраняя внутри остаточное тепло. Угли ещё тлели глубоко в золе, бросая слабые красноватые отблески на деревянный пол и стены. В комнате пахло сухими травами - кто-то из прошлых постояльцев оставил их на подоконнике и запах успел впитаться в дерево. У стены стояла добротная кровать с тяжелым шерстяным одеялом. Рядом - простой столик с глиняной кружкой и миской. Через маленькое окно пробивался холодный лунный свет. Снаружи тихо падал снег, едва слышно ударяясь о стекло.

|-----------------------------------------------------------------------------|

<@&1503426398780395520> 

Ему досталась другая комната... **коморка.** Тесная, без изысков, явно не предназначенная для долгого проживания. Каморка больше напоминала временно переоборудованный чулан: каменные стены, низкий потолок с тяжёлой деревянной балкой, в углу давно остывшая печь, наполненная серой золой. Окно было маленьким и затянутым коркой инея. Мебели абсолютный минимум. Узкая кровать, вплотную придвинутая к стене. Грубый стол с одинокой кружкой давно остывшей воды. Пол холодный, без тёплого покрытия. Единственное, что выбивалось из этой суровой обстановки - тяжёлая меховая накидка, которую ему выдали ещё по приезду, чтобы удержать тепло.

|-----------------------------------------------------------------------------|

Так или иначе, варвары этой ночью как бы странно это ни звучало - проводили время в своих комнатах.... Спали они или нет - оставалось на их совести. Но внезапно их слух прорезал простой и одновременно пугающий звук.

**Стук в дверь**

Сначала мимолётный, однако с каждой секундой он становился всё настойчивее... И кого же этой дивной ночью принесло?",,
"2026-05-12,00:13:01",biok_ymer,#0,"—Сив Сигурд Блэрс—
|-----------------------------------------------------------------------------|
Девушка довольная своими новыми моделями радостно сопела у себя в кроватки, расплываясь в довольной улыбки думая насколько жизнь прекрасна. Однако её мимолётное счастье было прервано Чертовым СТУКОМ. Девушка недовольно протёрла глаза и глухо спросила:
|-----------------------------------------------------------------------------|

—Кто тревожит великого шамана лорда Бэрсов?

|-----------------------------------------------------------------------------|",ktoia,1503495279083786260
"2026-05-12,00:24:58",samin__,#0,"— Ётун Модерака Дракхельм —

Жил себе спокойно парень, жил... жил... да лучше бы и не жил на самом деле. Жизнь подкинула ему проблем, спасибо папаша за детство... ну ладно, парень уже привык. С волками выть по волчьи жить как говориться. Жизни ему изначально спокойной не дали, а тут ещё и вызвали в какую-то глушь, которая была даже глуше чем его глушь. Но парень не расстроился, нет... ему было просто плевать. Ну или он пытался убедить в этом самого себя

Сутки в повозке под ЖУТКИМ ветром со СНЕГОМ, что забился ему ПОВСЮДУ, включая те места, которые он хотел перечислить, однако никому не было интересно. При заселении тот думал что наконец выспится, но И ТУТ ОБЛОМ! Его просто опрокинули лицом в суровую реальность твёрдых кроватей. Его убедили что это самая хорошая комната, которую ему предоставили, однако ему показалась что его пытаются горько обмануть, но доказать он этого... не мог. Ну, хотя бы потолки высокие, да и шубка крутая

Проспав добрые 12 часов, тот проснулся, потянулся и попытавшись вытащить ногу из под шубы понял что это была УЖАСТНАЯ ИДЕЯ. Перевернувшись на другой бок, тот проспал ещё 3 часа, а после нехотя сделал минимальную тренировку, вновь улазя под одеялко. Так и прошёл ЦЕЛЫЙ ДЕНЬ. Наконец снова сон... А НЕТ, КОМУ-ТО НЕЙМЁТСЯ! Сначала в дверь постучали, потом ПОСТУЧАЛИ ПОСИЛЬНЕЕ, **ЗАМТЕМ ПОСТУЧАЛИ НАСТОЙЧИВЕЕ**

Сначала Ётун хотел просто проигнорировать, но это не вышло, от чего тот крикнул что есть мочи:

— КОГО ПРИНЕСЛО! НОЧЬ НА ДВОРЕ, Я УСТАЛ! ДАЙ ПОСПАТЬ!",ktoia,1503495279083786260
"2026-05-12,02:19:49",ktoia,#0,"|-----------------------------------------------------------------------------|

Из-за двери на несколько секунд повисла тишина. Словно человек по ту сторону просто переваривал услышанное. Затем послышался тяжёлый выдох. Не раздражённый. Скорее... уставший, а потом:

— Лорд Блэрсов? 

Голос за дверью был мужским, спокойным и удивительно сухим.

— Поразительно, насколько быстро младшие ветви начинают путать тёплую комнату с величием.... **Сив Сигурд.** Если ты сейчас же не откроешь дверь, я войду сам. А затем лично напишу господину Хальдору Морнвейту, что его ученица окончательно перепутала уважение к старшим с дешёвым трепом.... Десять секунд. Раз.

Твердый мужской отсчет пошел.

|-----------------------------------------------------------------------------|",biok_ymer,1503505232418574567
"2026-05-12,02:27:09",biok_ymer,#0,"—Сив Сигурд Блэрс—
|-----------------------------------------------------------------------------|
Девушка хотела было лениво обратно провалиться в сон, однако услышать свое малоизвестное, но весьма славное имя заставило ту дёрнуться, отчего она все же стала лениво вставать, однако услышав про ""наставника"" та сильнее загорелась идеей помочь тому славному мужчине попасть в комнату! И вот на седьмую секунду она открыла дверь, стоя в проходе и смотря, кто там был. 
|-----------------------------------------------------------------------------|

—Хехе, не нужно беспокоить славного наставника, это была простая шутка! Чего вы так напряглись, хотите пройти внутрь?

|-----------------------------------------------------------------------------|",ktoia,1503537142129754133
"2026-05-12,02:27:19",biok_ymer,#0,,,
"2026-05-12,02:54:55",ktoia,#0,"|-----------------------------------------------------------------------------| 
За дверью повисла короткая тишина. Не та тишина, где человек обдумывает ответ. А та, где он просто решает, насколько ему вообще нужно терпеть происходящее. Потом раздался глубокий, ровный выдох, а после слова.... Голос был басистый. Громкий. 

— Устал. Это хорошо. 

|-----------------------------------------------------------------------------| 
Спустя секунду дверь коморки с треском ударилась о стену и осталась перекошенно висеть на петлях. Тепловатый воздух из коридора резко ворвался внутрь. Перед коморкой стоял высокий мужчина. Два метра роста. Широкие плечи. На лице - спокойная, почти весёлая ухмылка, которая не имела ничего общего с дружелюбием. Глаза сразу нашли Ётуна.

— **Ты в курсе, что не один в этом здании?** Так от чего кричишь?

|-----------------------------------------------------------------------------|",samin__,1503508240921661511
"2026-05-12,10:10:44",samin__,#0,"— Ëтун Модерака Дракхельм —

Парню было не до этого всего. Если этот мужчина - причина по которой его сюда привезли, пусть ждëт до рассвета  а там уже можно и поговорить. Думая что разговор окончен - парень перевернулся на другой бок, а после подлетел на кровати от резкого звука едва живой двери, которая уж точно видела за свою службу немало, однако такое отношение - впервые.

Приподняв торс, тот поглядел недовольным взглядом на двух метровое нечто, что улыбалось ему. Ëтун был... не сказать что сообразительным парнем, ему всегда говорили что до него долго доходит, однако тут он понял точно... этот мужик - жуткий. И чего он лыбется то?

Скорчив недовольную мину, тот покосился на дверь, отвечая:

— Говорит **тот** кто только что окончательно всех разбудил. Твоя дверь? Нет? Так не руш холупу

Переведя взгляд обратно, тот задрал голову вверх, смотря в глаза явно не доброму мужику, а после цикнув сказал:

— И чего тебя не лëгкая принесла в такой ""ранний"" час

Нет, парень не боялся амбалов, скорее просто опасался что его вместе с кроватью сейчас просунут в окно, которое для этого уж точно не предназначалось",ktoia,1503545977716478033
"2026-05-12,13:44:13",ktoia,#0,"|-----------------------------------------------------------------------------|

Перед дверью стоял парень довольно высокого роста, без явной мускулистости. Он был почти полностью белым: одежда, волосы - лишь меховая оконтовка, чёрные перчатки и янтарно жёлтые глаза выделялись на этом фоне. Лицо - серьёзное, даже угрюмое, с заметными мешками под глазами. Увидев девушку, которая ещё минуту назад так сладко спала, мужчина скользнул взглядом по её одеянию, затем вернул внимание к лицу и ответил холодно:

— Не знал, что господин снизошёл до такого... М-х-м. Что ж...
 
Он приподнял руку и с глухим шлепком поправил перчатки, натягивая их плотнее, одновременно говоря:

— Эдос Морнвейт. У тебя есть пара... /В этот момент снизу донёсся шум и какой-то треск./ Кхм... ...минута, чтобы собрать вещи и приготовиться внимать тому, зачем тебя сюда назначили. Желательно быстрее. А то мне придётся лично помогать ""лорду шаману"" одеваться.

Мужчина явно был не в восторге - всё его существо излучало, что это дело ему совершенно не упёрлось.

|-----------------------------------------------------------------------------|",biok_ymer,1503538987933892638
"2026-05-12,13:55:48",ktoia,#0,"|-----------------------------------------------------------------------------|

Казалось, если бы каморка была не с ""щедрыми"" потолками, мужчина непременно шагнул бы внутрь, чтобы наглядно объяснить сопляку цену длинному языку. Но дверь, конечно, жалко. Мужик чуть пригнулся, но ухмылку с лица не убрал - наоборот, она стала только шире. В полумраке ""комфортабельной"" комнаты он рассматривал парня как забавную, но мелкую зверушку.

Посмотрев на смазливую физиономию Ётуна, Мужик хихикнул - негромко, с явным намёком и сказал:

— Конечно, я пришёл за тобой, Ётун... Пх-пх...

Он выпрямился, потянулся, хрустнув шеей и принялся закидывать дальше:

— Ей-богу, кто ж тебе такое имя дал? Хах... Ладно, о грустном не будем. Собирай манатки, дела не ждут, **юный Дракхельм**.

Он замолчал, оперевшись плечом о дверной косяк в ожидании, что парень не будет заставлять себя упрашивать и оденется быстро. Или может тот придумывал следующую колкость? В любом случае, он стоял перед дверью, ясно давая понять: время на вопросы - есть, но задавать их нужно параллельно сборам.

|-----------------------------------------------------------------------------|",samin__,1503655655616155719
"2026-05-12,14:10:27",biok_ymer,#0,"—Сив Сигурд Блэрс—
|-----------------------------------------------------------------------------|
Девушка понимающе(или нет) кивала на слова парня, а после хотела было придумать какую-нибудь сладкую ложь чтобы дальше отлынивать, однако услышав имечка парня у девушки дернулась бровь. Значит он и семейства... Что же, улизнуть не выйдет. Девушка чуть напряжно улыбнулась говоря:
|-----------------------------------------------------------------------------|

—Ох, так ты мой родственник... А я и незнала что меня пригласил такой славный и красивый мужчина, что оказался ещё и моей двоюродной кровушкой. Ну что же, братец, я не стану вам задерживать. Ведь нет ничего дороже семейных уз в наших краях, ведь так?

/Ехидно улыбнувшись в ожидании реакции на своей сладкой речи та встретилась с недовольным взглядом, отчего чуть потерялась и все же прикрывая дверь решила переодеться, дабы не заставлять нервничать парня... Подойдя к кровати, она достала из под него свою одежду. Начала она с того, что сняла свою любимую ночнушку, откладывая в сторону, а после принялась одевать теплые штаны, после надела кофтан и шубу с множеством СИЛЬНЕЙШИХ и ВАЖНЫХ артефактов. После с трудом взяв завалявшиеся под кроватью посох, та достала сумку, что лежала на кровати как подушка, что видимо девушка боялась потерять и засунула туда свою ночнушку, а после достала оттуда гребешок, коим стала расчёсывать свои волосы, а сумку же нацепила на кофтан внутри шубы. После подготовки та вновь подошла к двери, открывая её, попутна расчесывая волосы и придерживая посох, говоря:/
-Ну вот славный братец, я и готова. Надеюсь я не утомила вас в ожидании. Все же не в каждую ночь происходят столь чудные встречи.

|-----------------------------------------------------------------------------|",ktoia,1503709378099023964
"2026-05-12,14:19:15",samin__,#0,"— Ëтун Модерака Дракхельм —

Ну великолепно... ублюдина не ошиблась дверью. Закатив глаза на шутку про имя, которую тот ТОЧНО слышал первым, тот распахнул шубу, оставаясь в ночной рубашке. От обдавшей его холода того чуть передёрнуло, однако попытавшись повторить ухмылку рослого ублюдка тот ехидно ответил:

— Ну... не удалось оправдать имя, чего сказать. А вот ты посмотрю из кожи вон лезешь чтобы оправдать своё. ""Динд Румпа"" ||[Улыбчивая задница]||

Неторопливо потянувшись, парень залез рукой под кровать, начиная вытаскивать от туда свои манатки, спорить с приказом тот и не собирался, но потянуть время тот был не против. Разговор изначально не заладился, так что можно было и побесить громилу:

— Давненько меня **Дракхельмом** не называли. Хех... ну и? Может хоть скажешь на кой меня сюда привезли и что сейчас будет? Как-то это не похоже на ""приглашение"". Если хотели прибить, можно быть это сделать как-то более интересно, а тут даже не знаю... скучновато как-то

Парень не сводил натянутой улыбки с лица. хотя скулы уже подустали с непривычки",ktoia,1503712294096474234
"2026-05-12,19:45:01",ktoia,#0,"|-----------------------------------------------------------------------------|

Реакции на первое высказывание не было. А когда девушка переоделась и вышла Эдос уже стоял чуть в стороне, облокотившись спиной о стену коридора. Вид у него был такой, будто за эту минуту переодевашек жизнь успела снова его разочаровать. В коридоре было тепло. Слабый свет масляных ламп дрожал на деревянных стенах, а где-то снизу всё ещё доносились приглушённые голоса и кажется чей-то крайне недовольный бас.

Он медленно перевёл взгляд на только что вышедшую Сив. Нарядец действительно походил на ученицу хмурого старца. Хмыкнув, парень пожал плечами и ответил:

— Мы из одной семьи, но твоя ветвь уж больно незначительна... до сих пор удив... Ах. К черту. На первый раз пропущу мимо ушей, братцом меня не называй.

Парень вздохнул, отпрянул от стены и кивнул в сторону, где продолжался коридор, а в дали виднелась лестница вниз.

— Быстрые вопросы есть? Пока спускаемся могу ответить.

Развернувшись, он зашагал вперед - медленно и размеренно.

|-----------------------------------------------------------------------------|",biok_ymer,1503715982454292637
